osm_id,name,latitude,longitude,city,state,country,address,description,wikidata,tags
2206989167,Vakkandurga Fort,15.9154643,75.8296604,,Karnataka,India,,,,"{'historic': 'castle', 'name': 'Vakkandurga Fort', 'name:kn': 'ವಕ್ಕಂದುರ್ಗ ಕೋಟೆ.'}"
2253257414,Hebbe falls,13.5414025,75.7253701,,Karnataka,India,,,,"{'name': 'Hebbe falls', 'name:kn': 'ಹೆಬ್ಬೆ ಜಲಪಾತ', 'tourism': 'attraction'}"
2261811338,Chennakeshava Temple,13.2468776,76.2237532,,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'name': 'Chennakeshava Temple', 'name:kn': 'ಚೆನ್ನಕೇಶವ ದೇವಾಲಯ', 'religion': 'hindu', 'tourism': 'attraction'}"
2262896866,Statue of Gommateshwara,13.2132333,75.9951992,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Statue of Gommateshwara', 'name:kn': 'ಗೊಮ್ಮಟೇಶ್ವರ ಪ್ರತಿಮೆ', 'tourism': 'attraction'}"
2262896906,Nandi,13.2125495,75.9952327,,Karnataka,India,,,,"{'historic': 'archaeological_site', 'name': 'Nandi', 'name:kn': 'ನಂದಿ', 'tourism': 'attraction'}"
2265660719,Bucheshwara Temple,13.0531181,76.176712,Hassan,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'historic': 'archaeological_site', 'name': 'Bucheshwara Temple', 'name:kn': 'ಬುಚ್ಚೇಶ್ವರ ದೇವಾಲಯ', 'style': 'hoysala'}"
2269064007,Chennakeshava Temple,13.3748908,76.1294164,,Karnataka,India,,,,"{'amenity': 'place_of_worship', 'building:style': 'hoysala', 'name': 'Chennakeshava Temple', 'name:kn': 'ಚೆನ್ನಕೇಶವ ದೇವಸ್ಥಾನ', 'religion': 'hindu', 'style': 'hoysala', 'tourism': 'attraction'}"
2274691955,Dr. Vittal Mallya,12.9712738,77.5979269,Bengaluru,Karnataka,India,,,,"{'historic': 'memorial', 'memorial': 'bust', 'name': 'Dr. Vittal Mallya', 'name:etymology:wikidata': 'Q7937268', 'name:kn': 'ಡಾ. ವಿಠ್ಠಲ್ ಮಲ್ಯ'}"
2300527369,Kantheshwara Temple Arch,13.1345414,74.9705202,,Karnataka,India,,,,"{'barrier': 'gate', 'name': 'Kantheshwara Temple Arch', 'tourism': 'attraction'}"
2312340631,Rani Chennamma Statue,15.8672303,74.5117246,Belagavi,Karnataka,India,,,,"{'historic': 'memorial', 'name': 'Rani Chennamma Statue', 'name:kn': 'ರಾಣಿ ಚೆನ್ನಮ್ಮ ಪ್ರತಿಮೆ'}"
2315628056,Chatrapati Shivaji Circle,15.4647934,75.0136719,Dharwad,Karnataka,India,,,,"{'historic': 'monument', 'name': 'Chatrapati Shivaji Circle', 'name:kn': 'ಛತ್ರಪತಿ ಶಿವಾಜಿ ವೃತ್ತ'}"
